Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size

1789483902,200,,Aggregated,58.800000,0.000000,0,7,11,14,27,39,56,79,170,240,240,2215,0,0,8.627462573686476,0,235.29809998581186,437.3828442437923

1789483903,200,,Aggregated,58.300000,0.000000,0,6,10,14,27,38,56,79,170,240,240,2270,0,0,8.441767401148315,0,235.29809998581186,427.79118942731276

1789483904,200,,Aggregated,59.100000,0.000000,0,6,10,14,26,38,55,78,170,240,240,2316,0,0,8.274530224786993,0,235.29809998581186,419.2944732297064

1789483905,200,,Aggregated,60.000000,0.000000,0,5,10,13,26,38,55,78,170,240,240,2384,0,0,8.079045847563414,0,235.29809998581186,423.5784395973154

1789483906,200,,Aggregated,59.700000,0.000000,0,5,10,13,25,38,54,78,170,240,240,2445,0,0,7.892517300838212,0,235.29809998581186,413.53783231083844

1789483907,200,,Aggregated,57.100000,0.000000,0,5,9,13,25,37,54,78,170,240,240,2491,0,0,7.758448454644307,0,235.29809998581186,406.5744680851064

1789483908,200,,Aggregated,58.200000,0.000000,0,4,9,12,24,37,53,76,170,240,240,2558,0,0,7.58293573122615,0,235.29809998581186,410.7861610633307

1789483909,200,,Aggregated,58.100000,0.000000,0,3,9,12,24,36,53,76,170,240,240,2624,0,0,7.410602553528251,0,235.29809998581186,429.0285823170732

1789483910,200,,Aggregated,57.200000,0.000000,0,1,9,12,24,36,52,76,170,240,240,2666,0,0,7.300264216202995,0,235.29809998581186,422.7726931732933

1789483911,200,,Aggregated,57.800000,0.000000,0,1,8,11,23,35,52,72,170,240,240,2726,0,0,7.146266544528472,0,235.29809998581186,413.9567131327953

1789483912,200,,Aggregated,58.500000,0.000000,0,1,8,11,23,35,52,72,170,240,240,2790,0,0,7.006176523412962,0,235.29809998581186,418.2491039426523

1789483913,200,,Aggregated,57.500000,0.000000,0,1,8,11,23,34,51,72,170,240,240,2851,0,0,6.874096667966686,0,235.29809998581186,409.95194668537357

1789483914,200,,Aggregated,57.200000,0.000000,0,0,8,10,22,34,51,71,170,240,240,2910,0,0,6.745464639315746,0,235.29809998581186,401.84639175257735

1789483915,200,,Aggregated,57.000000,0.000000,0,0,8,10,22,34,51,71,170,240,240,2977,0,0,6.614128283656405,0,235.29809998581186,405.918374202217

1789483916,200,,Aggregated,57.700000,0.000000,0,0,8,10,21,33,50,69,170,240,240,3022,0,0,6.521507114621156,0,235.29809998581186,400.175380542687

1789483917,200,,Aggregated,58.500000,0.000000,0,0,8,10,21,33,50,69,170,240,240,3090,0,0,6.390785339915022,0,235.29809998581186,392.09417475728156

1789483918,200,,Aggregated,58.100000,0.000000,0,0,7,10,21,32,50,69,170,240,240,3150,0,0,6.282554349299255,0,235.29809998581186,385.284126984127

1789483919,200,,Aggregated,57.100000,0.000000,0,0,7,9,20,32,49,69,170,240,240,3198,0,0,6.197178705523939,0,235.29809998581186,379.55065666041276

1789483920,200,,Aggregated,59.500000,0.000000,0,0,7,9,20,32,49,69,170,240,240,3255,0,0,6.098967373369693,0,235.29809998581186,373.4457757296467

1789483921,200,,Aggregated,58.900000,0.000000,0,0,7,9,20,32,48,69,170,240,240,3311,0,0,6.009871126632019,0,235.29809998581186,378.6439142253096

1789483922,200,,Aggregated,57.000000,0.000000,0,0,6,9,20,31,47,69,170,240,240,3376,0,0,5.911969016672176,0,235.29809998581186,371.8785545023697

1789483923,200,,Aggregated,58.500000,0.000000,0,0,6,9,19,31,47,69,170,240,240,3428,0,0,5.830597345454807,0,235.29809998581186,366.60035005834305

1789483925,200,,Aggregated,58.000000,0.000000,0,0,6,9,19,31,46,69,170,240,240,3488,0,0,5.75473976497877,0,235.29809998581186,371.64592889908255

1789483926,200,,Aggregated,58.000000,0.000000,0,0,5,8,19,31,46,69,170,240,240,3538,0,0,5.673977473218188,0,235.29809998581186,366.39372526851326

1789483927,200,,Aggregated,57.300000,0.000000,0,0,5,8,19,31,46,66,170,240,240,3604,0,0,5.579821753655183,0,235.29809998581186,360.30743618201996

1789483928,200,,Aggregated,56.000000,0.000000,0,0,5,8,18,30,46,66,170,240,240,3665,0,0,5.50115148710153,0,235.29809998581186,354.84665757162344

1789483929,200,,Aggregated,57.800000,0.000000,0,0,4,8,18,30,46,66,170,240,240,3720,0,0,5.431200376414739,0,235.29809998581186,360.0293010752688

1789483930,200,,Aggregated,57.100000,0.000000,0,0,4,8,18,30,46,66,170,240,240,3787,0,0,5.355983945160144,0,235.29809998581186,364.0306311064167

1789483931,200,,Aggregated,56.600000,0.000000,0,0,4,8,18,30,45,65,170,240,240,3840,0,0,5.293407083411754,0,235.29809998581186,359.4484375

1789483932,200,,Aggregated,58.000000,0.000000,0,0,2,8,17,30,45,65,170,240,240,3898,0,0,5.219490379764182,0,235.29809998581186,354.3804515135967



